BLUE REGION,BLUE SEED,BLUE TEAM,BLUE SCORE,RED SCORE,RED TEAM,RED SEED,RED REGION
NA,NA1,TSM,0,1,LGD Gaming,CH4,CH
EU,EU2,Fnatic,1,0,Gen.G eSports,KR3,KR
CH,CH1,Top Esports,1,0,Unicorns Of Love,CI1,CI
KR,KR2,DragonX,1,0,FlyQuest,NA2,NA
CH,CH3,Suning,1,0,Machi E-Sports,SA1,SA
EU,EU1,G2 Esports,0,1,Team Liquid,NA3,NA
CH,CH1,Top Esports,1,0,DragonX,KR2,KR
NA,NA2,FlyQuest,1,0,Unicorns Of Love,CI1,CI
CH,CH2,JD Gaming,1,0,Rogue,EU3,EU
KR,KR1,DAMWON Gaming,1,0,PSG Talon,SA2,SA
NA,NA3,Team Liquid,0,1,Suning,CH3,CH
SA,SA1,Machi E-Sports,0,1,G2 Esports,EU1,EU
CH,CH4,LGD Gaming,1,0,Fnatic,EU2,EU
KR,KR3,Gen.G eSports,1,0,TSM,NA1,NA
SA,SA2,PSG Talon,0,1,JD Gaming,CH2,CH
EU,EU3,Rogue,0,1,DAMWON Gaming,KR1,KR
EU,EU1,G2 Esports,1,0,Suning,CH3,CH
SA,SA1,Machi E-Sports,1,0,Team Liquid,NA3,NA
NA,NA1,TSM,0,1,Fnatic,EU2,EU
KR,KR3,Gen.G eSports,1,0,LGD Gaming,CH4,CH
KR,KR1,DAMWON Gaming,1,0,JD Gaming,CH2,CH
EU,EU3,Rogue,1,0,PSG Talon,SA2,SA
CI,CI1,Unicorns Of Love,0,1,DragonX,KR2,KR
NA,NA2,FlyQuest,0,1,Top Esports,CH1,CH
CI,CI1,Unicorns Of Love,3,0,Papara SuperMassive,TK1,TK
OC,OC1,Legacy eSports,0,3,LGD Gaming,CH4,CH
TK,TK1,Papara SuperMassive,3,2,MAD Lions,EU4,EU
LA,LA1,Rainbow7,0,3,LGD Gaming,CH4,CH
NA,NA3,Team Liquid,1,0,Legacy eSports,OC1,OC
EU,EU4,MAD Lions,1,0,INTZ e-Sports,BR1,BR
OC,OC1,Legacy eSports,1,0,Papara SuperMassive,TK1,TK
BR,BR1,INTZ e-Sports,1,0,Team Liquid,NA3,NA
EU,EU4,MAD Lions,0,1,Legacy eSports,OC1,OC
TK,TK1,Papara SuperMassive,0,1,Team Liquid,NA3,NA
CH,CH4,LGD Gaming,1,0,V3 Esports,JP1,JP
CI,CI1,Unicorns Of Love,0,1,PSG Talon,SA2,SA
CI,CI1,Unicorns Of Love,1,0,LGD Gaming,CH4,CH
SA,SA2,PSG Talon,1,0,V3 Esports,JP1,JP
LA,LA1,Rainbow7,1,0,Unicorns Of Love,CI1,CI
JP,JP1,V3 Esports,0,1,LGD Gaming,CH4,CH
NA,NA3,Team Liquid,1,0,Legacy eSports,OC1,OC
TK,TK1,Papara SuperMassive,1,0,MAD Lions,EU4,EU
CI,CI1,Unicorns Of Love,1,0,PSG Talon,SA2,SA
CH,CH4,LGD Gaming,0,1,Rainbow7,LA1,LA
JP,JP1,V3 Esports,0,1,Unicorns Of Love,CI1,CI
BR,BR1,INTZ e-Sports,0,1,Papara SuperMassive,TK1,TK
LA,LA1,Rainbow7,0,1,V3 Esports,JP1,JP
NA,NA3,Team Liquid,1,0,MAD Lions,EU4,EU
CH,CH4,LGD Gaming,0,1,PSG Talon,SA2,SA
OC,OC1,Legacy eSports,1,0,INTZ e-Sports,BR1,BR
SA,SA2,PSG Talon,1,0,Rainbow7,LA1,LA
EU,EU4,MAD Lions,1,0,INTZ e-Sports,BR1,BR
CH,CH1,Funplus Phoenix,3,0,G2 Esports,EU1,EU
KR,KR1,SK Telecom T1,1,3,G2 Esports,EU1,EU
CH,CH1,Funplus Phoenix,3,1,Invictus Gaming,CH3,CH
EU,EU1,G2 Esports,3,1,DAMWON Gaming,KR3,KR
EU,EU3,Splyce,1,3,SK Telecom T1,KR1,KR
CH,CH1,Funplus Phoenix,3,1,Fnatic,EU2,EU
CH,CH3,Invictus Gaming,3,1,Griffin,KR2,KR
CH,CH3,Invictus Gaming,1,0,Team Liquid,NA1,NA
KR,KR3,DAMWON Gaming,1,0,ahq e-Sports Club,SA2,SA
KR,KR3,DAMWON Gaming,1,0,Invictus Gaming,CH3,CH
NA,NA1,Team Liquid,1,0,ahq e-Sports Club,SA2,SA
NA,NA1,Team Liquid,0,1,DAMWON Gaming,KR3,KR
SA,SA2,ahq e-Sports Club,0,1,Invictus Gaming,CH3,CH
EU,EU2,Fnatic,1,0,Royal Never Give Up,CH2,CH
KR,KR1,SK Telecom T1,1,0,Clutch Gaming,NA3,NA
NA,NA3,Clutch Gaming,0,1,Royal Never Give Up,CH2,CH
KR,KR1,SK Telecom T1,0,1,Fnatic,EU2,EU
NA,NA3,Clutch Gaming,0,1,Fnatic,EU2,EU
CH,CH2,Royal Never Give Up,0,1,SK Telecom T1,KR1,KR
EU,EU1,G2 Esports,0,1,Griffin,KR2,KR
EU,EU1,G2 Esports,0,1,Griffin,KR2,KR
SA,SA3,Hong Kong Attitude,0,1,Cloud9,NA2,NA
NA,NA2,Cloud9,0,1,G2 Esports,EU1,EU
SA,SA3,Hong Kong Attitude,0,1,Griffin,KR2,KR
EU,EU1,G2 Esports,1,0,Hong Kong Attitude,SA3,SA
KR,KR2,Griffin,1,0,Cloud9,NA2,NA
CH,CH1,Funplus Phoenix,1,0,Splyce,EU3,EU
CH,CH1,Funplus Phoenix,1,0,J Team,SA1,SA
EU,EU3,Splyce,1,0,GAM Esports,VT1,VT
EU,EU3,Splyce,1,0,Funplus Phoenix,CH1,CH
VT,VT1,GAM Esports,0,1,J Team,SA1,SA
SA,SA1,J Team,0,1,Splyce,EU3,EU
VT,VT1,GAM Esports,0,1,Funplus Phoenix,CH1,CH
SA,SA3,Hong Kong Attitude,0,1,G2 Esports,EU1,EU
NA,NA2,Cloud9,0,1,Griffin,KR2,KR
EU,EU3,Splyce,0,1,J Team,SA1,SA
CH,CH1,Funplus Phoenix,1,0,GAM Esports,VT1,VT
NA,NA3,Clutch Gaming,0,1,SK Telecom T1,KR1,KR
CH,CH2,Royal Never Give Up,1,0,Fnatic,EU2,EU
EU,EU1,G2 Esports,1,0,Cloud9,NA2,NA
KR,KR2,Griffin,1,0,Hong Kong Attitude,SA3,SA
SA,SA1,J Team,0,1,GAM Esports,VT1,VT
CH,CH1,Funplus Phoenix,1,0,Splyce,EU3,EU
SA,SA2,ahq e-Sports Club,0,1,Team Liquid,NA1,NA
CH,CH3,Invictus Gaming,0,1,DAMWON Gaming,KR3,KR
NA,NA2,Cloud9,1,0,Hong Kong Attitude,SA3,SA
KR,KR2,Griffin,0,1,G2 Esports,EU1,EU
SA,SA2,ahq e-Sports Club,0,1,DAMWON Gaming,KR3,KR
NA,NA1,Team Liquid,0,1,Invictus Gaming,CH3,CH
EU,EU2,Fnatic,1,0,Clutch Gaming,NA3,NA
KR,KR1,SK Telecom T1,1,0,Royal Never Give Up,CH2,CH
VT,VT1,GAM Esports,0,1,Splyce,EU3,EU
SA,SA1,J Team,1,0,Funplus Phoenix,CH1,CH
KR,KR3,DAMWON Gaming,0,1,Team Liquid,NA1,NA
CH,CH3,Invictus Gaming,1,0,ahq e-Sports Club,SA2,SA
CH,CH2,Royal Never Give Up,1,0,Clutch Gaming,NA3,NA
EU,EU2,Fnatic,0,1,SK Telecom T1,KR1,KR
CI,CI1,Unicorns Of Love,2,3,Splyce,EU3,EU
SA,SA3,Hong Kong Attitude,3,1,Isurus Gaming,LA1,LA
NA,NA3,Clutch Gaming,3,0,Royal Youth,TK1,TK
VT,VT2,Lowkey Esports.Vietnam,1,3,DAMWON Gaming,KR3,KR
TK,TK1,Royal Youth,1,0,Flamengo eSports,BR1,BR
VT,VT2,Lowkey Esports.Vietnam,0,1,Hong Kong Attitude,SA3,SA
BR,BR1,Flamengo eSports,0,1,Royal Youth,TK1,TK
VT,VT2,Lowkey Esports.Vietnam,1,0,MEGA,SA4,SA
BR,BR1,Flamengo eSports,0,1,DAMWON Gaming,KR3,KR
SA,SA3,Hong Kong Attitude,1,0,MEGA,SA4,SA
KR,KR3,DAMWON Gaming,1,0,Royal Youth,TK1,TK
NA,NA3,Clutch Gaming,1,0,Unicorns Of Love,CI1,CI
OC,OC1,Mammoth eSports,0,1,Unicorns Of Love,CI1,CI
LA,LA1,Isurus Gaming,0,1,Splyce,EU3,EU
NA,NA3,Clutch Gaming,1,0,Mammoth eSports,OC1,OC
LA,LA1,Isurus Gaming,1,0,Detonation FocusMe,JP1,JP
CI,CI1,Unicorns Of Love,0,1,Mammoth eSports,OC1,OC
EU,EU3,Splyce,0,1,Detonation FocusMe,JP1,JP
CI,CI1,Unicorns Of Love,1,0,Clutch Gaming,NA3,NA
SA,SA3,Hong Kong Attitude,0,1,Lowkey Esports.Vietnam,VT2,VT
TK,TK1,Royal Youth,0,1,Flamengo eSports,BR1,BR
SA,SA4,MEGA,1,0,Lowkey Esports.Vietnam,VT2,VT
KR,KR3,DAMWON Gaming,1,0,Flamengo eSports,BR1,BR
SA,SA4,MEGA,0,1,Hong Kong Attitude,SA3,SA
TK,TK1,Royal Youth,0,1,DAMWON Gaming,KR3,KR
EU,EU3,Splyce,1,0,Isurus Gaming,LA1,LA
OC,OC1,Mammoth eSports,0,1,Clutch Gaming,NA3,NA
JP,JP1,Detonation FocusMe,0,1,Isurus Gaming,LA1,LA
OC,OC1,Mammoth eSports,1,0,Unicorns Of Love,CI1,CI
JP,JP1,Detonation FocusMe,0,1,Splyce,EU3,EU
NA,NA3,Clutch Gaming,0,1,Unicorns Of Love,CI1,CI
EU,EU,G2 Esports,3,0,Team Liquid,NA,NA
KR,KR,SK Telecom T1,2,3,G2 Esports,EU,EU
CH,CH,Invictus Gaming,1,3,Team Liquid,NA,NA
KR,KR,SK Telecom T1,1,0,Invictus Gaming,CH,CH
SA,SA,Flash Wolves,1,0,Dashing Buffalo,VT,VT
NA,NA,Team Liquid,1,0,G2 Esports,EU,EU
CH,CH,Invictus Gaming,1,0,Flash Wolves,SA,SA
EU,EU,G2 Esports,0,1,Dashing Buffalo,VT,VT
KR,KR,SK Telecom T1,1,0,Team Liquid,NA,NA
VT,VT,Dashing Buffalo,0,1,SK Telecom T1,KR,KR
CH,CH,Invictus Gaming,1,0,Team Liquid,NA,NA
SA,SA,Flash Wolves,0,1,SK Telecom T1,KR,KR
EU,EU,G2 Esports,0,1,Invictus Gaming,CH,CH
VT,VT,Dashing Buffalo,0,1,Team Liquid,NA,NA
EU,EU,G2 Esports,1,0,Flash Wolves,SA,SA
CH,CH,Invictus Gaming,1,0,Dashing Buffalo,VT,VT
KR,KR,SK Telecom T1,0,1,G2 Esports,EU,EU
NA,NA,Team Liquid,0,1,Flash Wolves,SA,SA
VT,VT,Dashing Buffalo,1,0,G2 Esports,EU,EU
SA,SA,Flash Wolves,0,1,Invictus Gaming,CH,CH
NA,NA,Team Liquid,0,1,SK Telecom T1,KR,KR
CH,CH,Invictus Gaming,1,0,SK Telecom T1,KR,KR
SA,SA,Flash Wolves,0,1,G2 Esports,EU,EU
KR,KR,SK Telecom T1,1,0,Dashing Buffalo,VT,VT
NA,NA,Team Liquid,0,1,Invictus Gaming,CH,CH
VT,VT,Dashing Buffalo,0,1,Flash Wolves,SA,SA
EU,EU,G2 Esports,1,0,Team Liquid,NA,NA
NA,NA,Team Liquid,1,0,Dashing Buffalo,VT,VT
CH,CH,Invictus Gaming,1,0,G2 Esports,EU,EU
KR,KR,SK Telecom T1,1,0,Flash Wolves,SA,SA
VT,VT,Dashing Buffalo,0,1,Invictus Gaming,CH,CH
SA,SA,Flash Wolves,0,1,Team Liquid,NA,NA
EU,EU,G2 Esports,1,0,SK Telecom T1,KR,KR
VT,VT,Dashing Buffalo,3,2,Vega Squadron,CI,CI
SA,SA,Flash Wolves,3,1,Vega Squadron,CI,CI
NA,NA,Team Liquid,3,0,Dashing Buffalo,VT,VT
SA,SA,MEGA,1,0,Vega Squadron,CI,CI
BR,BR,INTZ eSports,0,1,Detonation FocusMe,JP,JP
JP,JP,Detonation FocusMe,0,1,Vega Squadron,CI,CI
BR,BR,INTZ eSports,1,0,MEGA,SA,SA
BR,BR,INTZ eSports,0,1,Vega Squadron,CI,CI
JP,JP,Detonation FocusMe,1,0,MEGA,SA,SA
CI,CI,Vega Squadron,1,0,MEGA,SA,SA
JP,JP,Detonation FocusMe,1,0,INTZ eSports,BR,BR
VT,VT,Dashing Buffalo,1,0,1907 Fenerbahce,TK,TK
SA,SA,MEGA,1,0,INTZ eSports,BR,BR
CI,CI,Vega Squadron,1,0,Detonation FocusMe,JP,JP
CI,CI,Vega Squadron,1,0,INTZ eSports,BR,BR
SA,SA,MEGA,0,1,Detonation FocusMe,JP,JP
LA,LA,Isurus Gaming,1,0,Bombers,OC,OC
VT,VT,Dashing Buffalo,0,1,1907 Fenerbahce,TK,TK
OC,OC,Bombers,0,1,1907 Fenerbahce,TK,TK
LA,LA,Isurus Gaming,0,1,Dashing Buffalo,VT,VT
LA,LA,Isurus Gaming,1,0,1907 Fenerbahce,TK,TK
OC,OC,Bombers,1,0,Dashing Buffalo,VT,VT
TK,TK,1907 Fenerbahce,0,1,Dashing Buffalo,VT,VT
OC,OC,Bombers,1,0,Isurus Gaming,LA,LA
TK,TK,1907 Fenerbahce,1,0,Bombers,OC,OC
VT,VT,Dashing Buffalo,1,0,Isurus Gaming,LA,LA
TK,TK,1907 Fenerbahce,1,0,Isurus Gaming,LA,LA
VT,VT,Dashing Buffalo,1,0,Bombers,OC,OC
EU,EU1,Fnatic,0,3,Invictus Gaming,CH2,CH
EU,EU1,Fnatic,3,0,Cloud9,NA3,NA
CH,CH2,Invictus Gaming,3,0,G2 Esports,EU3,EU
EU,EU1,Fnatic,3,1,Edward Gaming,CH3,CH
NA,NA3,Cloud9,3,0,Afreeca Freecs,KR2,KR
CH,CH1,Royal Never Give Up,2,3,G2 Esports,EU3,EU
KR,KR1,KT Rolster,2,3,Invictus Gaming,CH2,CH
EU,EU1,Fnatic,1,0,Invictus Gaming,CH2,CH
CH,CH2,Invictus Gaming,0,1,Fnatic,EU1,EU
SA,SA3,G-Rex,0,1,100 Thieves,NA2,NA
NA,NA2,100 Thieves,0,1,Invictus Gaming,CH2,CH
EU,EU1,Fnatic,1,0,G-Rex,SA3,SA
SA,SA3,G-Rex,0,1,Invictus Gaming,CH2,CH
EU,EU1,Fnatic,1,0,100 Thieves,NA2,NA
KR,KR1,KT Rolster,1,0,MAD Team,SA2,SA
CH,CH3,Edward Gaming,0,1,Team Liquid,NA1,NA
CH,CH3,Edward Gaming,1,0,KT Rolster,KR1,KR
SA,SA2,MAD Team,0,1,Team Liquid,NA1,NA
SA,SA2,MAD Team,0,1,Edward Gaming,CH3,CH
NA,NA1,Team Liquid,0,1,KT Rolster,KR1,KR
SA,SA1,Flash Wolves,0,1,G2 Esports,EU3,EU
EU,EU3,G2 Esports,0,1,Afreeca Freecs,KR2,KR
SA,SA1,Flash Wolves,0,1,Phong Vu Buffalo,VT1,VT
VT,VT1,Phong Vu Buffalo,0,1,Afreeca Freecs,KR2,KR
SA,SA1,Flash Wolves,1,0,G2 Esports,EU3,EU
EU,EU3,G2 Esports,1,0,Phong Vu Buffalo,VT1,VT
KR,KR2,Afreeca Freecs,1,0,Flash Wolves,SA1,SA
CH,CH1,Royal Never Give Up,1,0,Cloud9,NA3,NA
CH,CH1,Royal Never Give Up,1,0,Gen.G eSports,KR3,KR
NA,NA3,Cloud9,1,0,Team Vitality,EU2,EU
NA,NA3,Cloud9,1,0,Royal Never Give Up,CH1,CH
EU,EU2,Team Vitality,1,0,Gen.G eSports,KR3,KR
KR,KR3,Gen.G eSports,0,1,Cloud9,NA3,NA
EU,EU2,Team Vitality,1,0,Royal Never Give Up,CH1,CH
KR,KR1,KT Rolster,1,0,Edward Gaming,CH3,CH
NA,NA1,Team Liquid,1,0,MAD Team,SA2,SA
SA,SA3,G-Rex,0,1,Fnatic,EU1,EU
CH,CH2,Invictus Gaming,1,0,100 Thieves,NA2,NA
EU,EU3,G2 Esports,1,0,Flash Wolves,SA1,SA
KR,KR2,Afreeca Freecs,1,0,Phong Vu Buffalo,VT1,VT
NA,NA3,Cloud9,0,1,Gen.G eSports,KR3,KR
CH,CH1,Royal Never Give Up,1,0,Team Vitality,EU2,EU
NA,NA2,100 Thieves,1,0,G-Rex,SA3,SA
EU,EU1,Fnatic,0,1,Invictus Gaming,CH2,CH
NA,NA1,Team Liquid,0,1,Edward Gaming,CH3,CH
SA,SA2,MAD Team,0,1,KT Rolster,KR1,KR
KR,KR3,Gen.G eSports,0,1,Royal Never Give Up,CH1,CH
EU,EU2,Team Vitality,0,1,Cloud9,NA3,NA
CH,CH2,Invictus Gaming,1,0,G-Rex,SA3,SA
NA,NA2,100 Thieves,0,1,Fnatic,EU1,EU
VT,VT1,Phong Vu Buffalo,1,0,G2 Esports,EU3,EU
SA,SA1,Flash Wolves,1,0,Afreeca Freecs,KR2,KR
KR,KR3,Gen.G eSports,0,1,Team Vitality,EU2,EU
CH,CH1,Royal Never Give Up,1,0,Cloud9,NA3,NA
KR,KR2,Afreeca Freecs,0,1,G2 Esports,EU3,EU
VT,VT1,Phong Vu Buffalo,0,1,Flash Wolves,SA1,SA
CH,CH3,Edward Gaming,1,0,MAD Team,SA2,SA
KR,KR1,KT Rolster,1,0,Team Liquid,NA1,NA
SA,SA3,G-Rex,3,1,BAUSuperMassive,TK1,TK
EU,EU3,G2 Esports,3,1,Infinity eSports,LA1,LA
JP,JP1,Detonation FocusMe,0,3,Edward Gaming,CH3,CH
NA,NA3,Cloud9,3,2,Gambit Esports,CI1,CI
EU,EU3,G2 Esports,1,0,BAUSuperMassive,TK1,TK
CH,CH3,Edward Gaming,1,0,Dire Wolves,OC1,OC
EU,EU3,G2 Esports,1,0,Ascension Gaming,SA4,SA
LA,LA1,Infinity eSports,1,0,Dire Wolves,OC1,OC
TK,TK1,BAUSuperMassive,1,0,Ascension Gaming,SA4,SA
LA,LA1,Infinity eSports,1,0,Edward Gaming,CH3,CH
TK,TK1,BAUSuperMassive,0,1,G2 Esports,EU3,EU
JP,JP1,Detonation FocusMe,1,0,KaBuM! e-Sports,BR1,BR
NA,NA3,Cloud9,1,0,Detonation FocusMe,JP1,JP
LA,LA2,Kaos Latin Gamers,0,1,G-Rex,SA3,SA
BR,BR1,KaBuM! e-Sports,0,1,Cloud9,NA3,NA
LA,LA2,Kaos Latin Gamers,0,1,Gambit Esports,CI1,CI
BR,BR1,KaBuM! e-Sports,1,0,Detonation FocusMe,JP1,JP
SA,SA3,G-Rex,1,0,Gambit Esports,CI1,CI
SA,SA4,Ascension Gaming,0,1,G2 Esports,EU3,EU
OC,OC1,Dire Wolves,0,1,Edward Gaming,CH3,CH
SA,SA4,Ascension Gaming,0,1,BAUSuperMassive,TK1,TK
OC,OC1,Dire Wolves,1,0,Infinity eSports,LA1,LA
EU,EU3,G2 Esports,0,1,BAUSuperMassive,TK1,TK
CH,CH3,Edward Gaming,1,0,Infinity eSports,LA1,LA
CI,CI1,Gambit Esports,1,0,Kaos Latin Gamers,LA2,LA
JP,JP1,Detonation FocusMe,0,1,Cloud9,NA3,NA
SA,SA3,G-Rex,1,0,Kaos Latin Gamers,LA2,LA
JP,JP1,Detonation FocusMe,1,0,KaBuM! e-Sports,BR1,BR
CI,CI1,Gambit Esports,0,1,G-Rex,SA3,SA
NA,NA3,Cloud9,1,0,KaBuM! e-Sports,BR1,BR
CH,CH,Royal Never Give Up,3,1,Kingzone DragonX,KR,KR
SA,SA,Flash Wolves,1,3,Kingzone DragonX,KR,KR
EU,EU,Fnatic,0,3,Royal Never Give Up,CH,CH
EU,EU,Fnatic,1,0,Team Liquid,NA,NA
SA,SA,Flash Wolves,0,1,Royal Never Give Up,CH,CH
NA,NA,Team Liquid,0,1,Royal Never Give Up,CH,CH
SA,SA,Flash Wolves,1,0,Kingzone DragonX,KR,KR
EU,EU,Fnatic,0,1,EVOS Esports,VT,VT
SA,SA,Flash Wolves,0,1,Team Liquid,NA,NA
VT,VT,EVOS Esports,0,1,Royal Never Give Up,CH,CH
EU,EU,Fnatic,0,1,Kingzone DragonX,KR,KR
NA,NA,Team Liquid,1,0,Fnatic,EU,EU
KR,KR,Kingzone DragonX,1,0,EVOS Esports,VT,VT
CH,CH,Royal Never Give Up,1,0,Flash Wolves,SA,SA
VT,VT,EVOS Esports,0,1,Team Liquid,NA,NA
EU,EU,Fnatic,1,0,Flash Wolves,SA,SA
KR,KR,Kingzone DragonX,0,1,Royal Never Give Up,CH,CH
NA,NA,Team Liquid,0,1,Kingzone DragonX,KR,KR
SA,SA,Flash Wolves,1,0,EVOS Esports,VT,VT
CH,CH,Royal Never Give Up,1,0,Fnatic,EU,EU
KR,KR,Kingzone DragonX,0,1,Flash Wolves,SA,SA
VT,VT,EVOS Esports,0,1,Fnatic,EU,EU
CH,CH,Royal Never Give Up,0,1,Team Liquid,NA,NA
EU,EU,Fnatic,1,0,Team Liquid,NA,NA
SA,SA,Flash Wolves,1,0,Royal Never Give Up,CH,CH
VT,VT,EVOS Esports,0,1,Kingzone DragonX,KR,KR
NA,NA,Team Liquid,0,1,Flash Wolves,SA,SA
CH,CH,Royal Never Give Up,1,0,EVOS Esports,VT,VT
KR,KR,Kingzone DragonX,0,1,Fnatic,EU,EU
CH,CH,Royal Never Give Up,0,1,Kingzone DragonX,KR,KR
NA,NA,Team Liquid,0,1,EVOS Esports,VT,VT
SA,SA,Flash Wolves,1,0,Fnatic,EU,EU
KR,KR,Kingzone DragonX,1,0,Team Liquid,NA,NA
VT,VT,EVOS Esports,0,1,Flash Wolves,SA,SA
EU,EU,Fnatic,0,1,Royal Never Give Up,CH,CH
SA,SA,Flash Wolves,3,0,Gambit Esports,CI,CI
VT,VT,EVOS Esports,3,1,BAUSuperMassive,TK,TK
JP,JP,Pentagram,1,0,Dire Wolves,OC,OC
TK,TK,BAUSuperMassive,0,1,KaBuM! e-Sports,BR,BR
OC,OC,Dire Wolves,0,1,BAUSuperMassive,TK,TK
JP,JP,Pentagram,0,1,KaBuM! e-Sports,BR,BR
OC,OC,Dire Wolves,0,1,KaBuM! e-Sports,BR,BR
JP,JP,Pentagram,0,1,BAUSuperMassive,TK,TK
SA,SA,Ascension Gaming,1,0,Kaos Latin Gamers,LA,LA
CI,CI,Gambit Esports,1,0,Rainbow7,LA,LA
LA,LA,Kaos Latin Gamers,0,1,Gambit Esports,CI,CI
SA,SA,Ascension Gaming,0,1,Rainbow7,LA,LA
LA,LA,Kaos Latin Gamers,0,1,Rainbow7,LA,LA
SA,SA,Ascension Gaming,1,0,Gambit Esports,CI,CI
BR,BR,KaBuM! e-Sports,0,1,BAUSuperMassive,TK,TK
OC,OC,Dire Wolves,1,0,Pentagram,JP,JP
BR,BR,KaBuM! e-Sports,0,1,Dire Wolves,OC,OC
TK,TK,BAUSuperMassive,1,0,Pentagram,JP,JP
BR,BR,KaBuM! e-Sports,1,0,Pentagram,JP,JP
TK,TK,BAUSuperMassive,1,0,Dire Wolves,OC,OC
LA,LA,Rainbow7,0,1,Gambit Esports,CI,CI
LA,LA,Kaos Latin Gamers,1,0,Ascension Gaming,SA,SA
LA,LA,Rainbow7,0,1,Kaos Latin Gamers,LA,LA
CI,CI,Gambit Esports,1,0,Ascension Gaming,SA,SA
LA,LA,Rainbow7,1,0,Ascension Gaming,SA,SA
CI,CI,Gambit Esports,1,0,Kaos Latin Gamers,LA,LA
KR,KR3,Samsung Galaxy,3,0,SK Telecom T1,KR2,KR
CH,CH3,Team WE,1,3,Samsung Galaxy,KR3,KR
CH,CH2,Royal Never Give Up,2,3,SK Telecom T1,KR2,KR
CH,CH3,Team WE,3,2,Cloud 9,NA3,NA
EU,EU3,Fnatic,1,3,Royal Never Give Up,CH2,CH
KR,KR2,SK Telecom T1,3,2,Misfits,EU2,EU
KR,KR1,Longzhu Gaming,0,3,Samsung Galaxy,KR3,KR
KR,KR2,SK Telecom T1,1,0,Edward Gaming,CH1,CH
NA,NA3,Cloud 9,1,0,ahq e-Sports Club,SA2,SA
NA,NA3,Cloud 9,0,1,SK Telecom T1,KR2,KR
SA,SA2,ahq e-Sports Club,0,1,Edward Gaming,CH1,CH
CH,CH1,Edward Gaming,1,0,Cloud 9,NA3,NA
SA,SA2,ahq e-Sports Club,1,0,SK Telecom T1,KR2,KR
EU,EU2,Misfits,1,0,Team SoloMid,NA1,NA
EU,EU2,Misfits,0,1,Team WE,CH3,CH
NA,NA1,Team SoloMid,0,1,Flash Wolves,SA1,SA
NA,NA1,Team SoloMid,1,0,Misfits,EU2,EU
SA,SA1,Flash Wolves,0,1,Team WE,CH3,CH
CH,CH3,Team WE,1,0,Team SoloMid,NA1,NA
EU,EU2,Misfits,1,0,Flash Wolves,SA1,SA
CH,CH2,Royal Never Give Up,1,0,Samsung Galaxy,KR3,KR
TK,TK1,1907 Fenerbahce,0,1,G2 Esports,EU1,EU
TK,TK1,1907 Fenerbahce,0,1,Royal Never Give Up,CH2,CH
KR,KR3,Samsung Galaxy,1,0,G2 Esports,EU1,EU
KR,KR3,Samsung Galaxy,1,0,1907 Fenerbahce,TK1,TK
EU,EU1,G2 Esports,1,0,Royal Never Give Up,CH2,CH
VT,VT1,GIGABYTE Marines,0,1,Fnatic,EU3,EU
EU,EU3,Fnatic,1,0,Immortals,NA2,NA
NA,NA2,Immortals,0,1,Longzhu Gaming,KR1,KR
VT,VT1,GIGABYTE Marines,0,1,Fnatic,EU3,EU
VT,VT1,GIGABYTE Marines,0,1,Longzhu Gaming,KR1,KR
EU,EU3,Fnatic,1,0,Immortals,NA2,NA
KR,KR1,Longzhu Gaming,1,0,Fnatic,EU3,EU
NA,NA2,Immortals,0,1,GIGABYTE Marines,VT1,VT
CH,CH2,Royal Never Give Up,1,0,G2 Esports,EU1,EU
TK,TK1,1907 Fenerbahce,0,1,Samsung Galaxy,KR3,KR
EU,EU3,Fnatic,0,1,Longzhu Gaming,KR1,KR
VT,VT1,GIGABYTE Marines,0,1,Immortals,NA2,NA
EU,EU2,Misfits,1,0,Team SoloMid,NA1,NA
CH,CH3,Team WE,1,0,Flash Wolves,SA1,SA
NA,NA3,Cloud 9,1,0,Edward Gaming,CH1,CH
KR,KR2,SK Telecom T1,1,0,ahq e-Sports Club,SA2,SA
KR,KR3,Samsung Galaxy,0,1,Royal Never Give Up,CH2,CH
EU,EU1,G2 Esports,1,0,1907 Fenerbahce,TK1,TK
SA,SA1,Flash Wolves,0,1,Misfits,EU2,EU
NA,NA1,Team SoloMid,1,0,Team WE,CH3,CH
CH,CH1,Edward Gaming,0,1,SK Telecom T1,KR2,KR
SA,SA2,ahq e-Sports Club,0,1,Cloud 9,NA3,NA
KR,KR1,Longzhu Gaming,1,0,GIGABYTE Marines,VT1,VT
NA,NA2,Immortals,1,0,Fnatic,EU3,EU
CH,CH3,Team WE,1,0,Misfits,EU2,EU
SA,SA1,Flash Wolves,0,1,Team SoloMid,NA1,NA
CH,CH1,Edward Gaming,0,1,ahq e-Sports Club,SA2,SA
KR,KR2,SK Telecom T1,1,0,Cloud 9,NA3,NA
EU,EU3,Fnatic,0,1,GIGABYTE Marines,VT1,VT
KR,KR1,Longzhu Gaming,1,0,Immortals,NA2,NA
EU,EU1,G2 Esports,0,1,Samsung Galaxy,KR3,KR
CH,CH2,Royal Never Give Up,1,0,1907 Fenerbahce,TK1,TK
CH,CH3,Team WE,3,0,Young Generation,VT2,VT
TK,TK1,1907 Fenerbahce,3,1,Team oNe eSports,BR1,BR
EU,EU3,Fnatic,3,0,Hong Kong Attitude,SA3,SA
NA,NA3,Cloud 9,3,0,Lyon Gaming,LA1,LA
